"";"gs_name";"gs_id";"gs_cat";"gs_subcat";"human_gene_symbol";"species_name";"entrez_gene";"gene_symbol";"sources"
"35";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"CRADD";"Homo sapiens";8738;"CRADD";NA
"36";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"CRNKL1";"Homo sapiens";51340;"CRNKL1";NA
"37";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"CRYBG1";"Homo sapiens";202;"CRYBG1";NA
"38";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"CRYM";"Homo sapiens";1428;"CRYM";NA
"39";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"CTNND2";"Homo sapiens";1501;"CTNND2";NA
"40";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"CTPS1";"Homo sapiens";1503;"CTPS1";NA
"41";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"CTSE";"Homo sapiens";1510;"CTSE";NA
"42";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"DAB1";"Homo sapiens";1600;"DAB1";NA
"43";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"DAP";"Homo sapiens";1611;"DAP";NA
"44";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"DDX3Y";"Homo sapiens";8653;"DDX3Y";NA
"45";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"DMGDH";"Homo sapiens";29958;"DMGDH";NA
"46";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"DNTT";"Homo sapiens";1791;"DNTT";NA
"47";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"DOLPP1";"Homo sapiens";57171;"DOLPP1";NA
"48";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"DPCD";"Homo sapiens";25911;"DPCD";NA
"49";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"DPH5";"Homo sapiens";51611;"DPH5";NA
"50";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"DRAP1";"Homo sapiens";10589;"DRAP1";NA
"51";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"E2F3";"Homo sapiens";1871;"E2F3";NA
"52";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"EFNA1";"Homo sapiens";1942;"EFNA1";NA
"53";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"EFNA2";"Homo sapiens";1943;"EFNA2";NA
"54";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"ENTPD5";"Homo sapiens";957;"ENTPD5";NA
"55";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"EOMES";"Homo sapiens";8320;"EOMES";NA
"56";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"ERP29";"Homo sapiens";10961;"ERP29";NA
"57";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"EXOSC7";"Homo sapiens";23016;"EXOSC7";NA
"58";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"F2RL3";"Homo sapiens";9002;"F2RL3";NA
"59";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"FAM241A";"Homo sapiens";132720;"FAM241A";NA
"60";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"FAM3A";"Homo sapiens";60343;"FAM3A";NA
"61";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"FASTK";"Homo sapiens";10922;"FASTK";NA
"62";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"FGF1";"Homo sapiens";2246;"FGF1";NA
"63";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"FGF2";"Homo sapiens";2247;"FGF2";NA
"64";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"FKBP4";"Homo sapiens";2288;"FKBP4";NA
"65";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"FNTB";"Homo sapiens";2342;"FNTB";NA
"66";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"FOXRED1";"Homo sapiens";55572;"FOXRED1";NA
"67";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"FRMD8";"Homo sapiens";83786;"FRMD8";NA
"68";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"GABPB1";"Homo sapiens";2553;"GABPB1";NA
"69";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"GABRD";"Homo sapiens";2563;"GABRD";NA
"70";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"GAMT";"Homo sapiens";2593;"GAMT";NA
"71";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"GART";"Homo sapiens";2618;"GART";NA
"72";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"GATA5";"Homo sapiens";140628;"GATA5";NA
"73";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"GGA2";"Homo sapiens";23062;"GGA2";NA
"74";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"GGT1";"Homo sapiens";2678;"GGT1";NA
"75";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"GLO1";"Homo sapiens";2739;"GLO1";NA
"76";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"GLRX3";"Homo sapiens";10539;"GLRX3";NA
"77";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"GML";"Homo sapiens";2765;"GML";NA
"78";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"GPX2";"Homo sapiens";2877;"GPX2";NA
"79";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"GRAP2";"Homo sapiens";9402;"GRAP2";NA
"80";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"GRIN1";"Homo sapiens";2902;"GRIN1";NA
"81";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"GRK6";"Homo sapiens";2870;"GRK6";NA
"82";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"GRWD1";"Homo sapiens";83743;"GRWD1";NA
"83";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"GSN";"Homo sapiens";2934;"GSN";NA
"84";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"H2AFB2";"Homo sapiens";474381;"H2AFB2";NA
"85";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"HDAC7";"Homo sapiens";51564;"HDAC7";NA
"86";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"HOXB5";"Homo sapiens";3215;"HOXB5";NA
"87";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"HS3ST3A1";"Homo sapiens";9955;"HS3ST3A1";NA
"88";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"HSD11B1";"Homo sapiens";3290;"HSD11B1";NA
"89";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"HSD17B3";"Homo sapiens";3293;"HSD17B3";NA
"90";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"HSF1";"Homo sapiens";3297;"HSF1";NA
"91";"GSE19772_CTRL_VS_HCMV_INF_MONOCYTES_AND_PI3K_INHIBITION_DN";"M7280";"C7";"";"HSPA1L";"Homo sapiens";3305;"HSPA1L";NA
